feature,mean_importance,std_importance
Sex,0.05112107623318383,0.01318111072349692
title_group,0.04618834080717486,0.012370506030613196
Age,0.029596412556053785,0.008787407148997974
ticket_group_size,0.027354260089686076,0.009068945478097166
Pclass,0.01255605381165915,0.005600895065828137
name_word_count,0.010313901345291466,0.008979813629820959
age_fare_ratio,0.0085201793721973,0.009711393644711967
cabin_score,0.006726457399103114,0.01156394346029382
is_alone,0.006278026905829581,0.0072861330983281965
SibSp,0.005381165919282516,0.006590555361748459
Fare,0.004484304932735416,0.009406357382691938
fare_per_person,0.003139013452914807,0.007517064849435093
cabin_room_number,0.0026905829596412635,0.005742712320567594
name_length,0.0004484304932735328,0.010507062344269054
cabin_deck,0.0,0.004484304932735439
Embarked,-0.0026905829596412635,0.005742712320567594
family_size,-0.0026905829596412635,0.0049935106393094505
Parch,-0.0031390134529148293,0.010430227219383859
