mean_test_score,std_test_score,param_model__C,param_model__class_weight
0.8023454157782515,0.03094420720383302,0.01,balanced
0.8098193244304792,0.024459939368625987,0.1,balanced
0.815856806194591,0.032465676342674034,1.0,balanced
0.8098754348557963,0.03445729477630766,10.0,balanced
0.803905285602065,0.03649592874492222,100.0,balanced
0.7844461901021209,0.01711552298787391,0.01,
0.8113230838289753,0.02605369887088648,0.1,
0.8293120861856131,0.02551757545173653,1.0,
0.8368084390079676,0.018181357138679206,10.0,
0.8353159016945348,0.018504602371677403,100.0,
